title,price,prod_rating,rating_count,discount,seller_rating
"POCO C55 (Cool Blue, 64 GB)  (4 GB RAM)","₹7,749",4.2,"26,218",35%,5
Nokia 105 TA-1459 DS  (Charcoal),"₹1,449",4.1,"4,171",9%,4.9
"POCO C50 (Royal Blue, 32 GB)  (3 GB RAM)","₹6,299",4,"12,377",37%,5
"SAMSUNG Galaxy F14 5G (GOAT Green, 128 GB)  (6 GB RAM)","₹14,490",4.2,"17,115",21%,4.9
"POCO M4 5G (Power Black, 64 GB)  (4 GB RAM)","₹11,999",4.2,"79,482",25%,4.9
"POCO C50 (Country Green, 32 GB)  (3 GB RAM)","₹6,299",4,"12,377",37%,4.9
"realme C33 2023 (Aqua Blue, 128 GB)  (4 GB RAM)","₹10,499",4.4,"14,462",25%,5
"realme C33 2023 (Sandy Gold, 128 GB)  (4 GB RAM)","₹10,499",4.4,"14,462",25%,5
"vivo T2 5G (Velocity Wave, 128 GB)  (8 GB RAM)","₹20,999",4.4,"4,978",19%,5
"vivo T2 5G (Nitro Blaze, 128 GB)  (8 GB RAM)","₹20,999",4.4,"4,978",19%,5
"vivo T2 5G (Velocity Wave, 128 GB)  (6 GB RAM)","₹18,999",4.4,"26,641",20%,5
"vivo T2 5G (Nitro Blaze, 128 GB)  (6 GB RAM)","₹18,999",4.4,"26,641",20%,5
"realme C30 (Bamboo Green, 32 GB)  (3 GB RAM)","₹6,499",4.1,"56,438",30%,5
"realme C30 (Denim Black, 32 GB)  (2 GB RAM)","₹5,999",4.2,"1,05,022",29%,5
"REDMI 11 Prime (Flashy Black, 64 GB)  (4 GB RAM)","₹9,999",4.3,"2,871",33%,4.9
"POCO X5 5G (Wildcat Blue, 128 GB)  (6 GB RAM)","₹15,999",4.1,"8,513",23%,4.9
"vivo T2 5G (Nitro Blaze, 128 GB)  (8 GB RAM)","₹20,999",4.4,"4,978",19%,5
"vivo T2 5G (Velocity Wave, 128 GB)  (6 GB RAM)","₹18,999",4.4,"26,641",20%,5
"vivo T2 5G (Nitro Blaze, 128 GB)  (6 GB RAM)","₹18,999",4.4,"26,641",20%,5
